trecsQ1.txt
 -- Radiance Enhancement %
Wavelength | Impact Enhancement | Impact Error | Background Enhancement | Backgrdound Error
      15.8356         -NaN         -NaN         -NaN         -NaN
      19.5609      1.17286    0.0145135      1.00871   0.00167763
      19.5941      1.16170    0.0140433      1.00929   0.00187375
      19.6274      1.16103    0.0141422      1.00966   0.00116293
      19.6607      1.15757    0.0138487      1.00994   0.00134653
      19.6939      1.15600    0.0137847      1.01101   0.00126719
      19.7272      1.15648    0.0131409      1.01464   0.00184371
      19.7604      1.15730    0.0120808      1.02114   0.00222902
      19.7937      1.14544    0.0119670      1.01974   0.00222024
      19.8270      1.14286    0.0118331      1.01370   0.00148604
      19.8602      1.15098    0.0135517      1.01037   0.00148975
      19.8935      1.13790    0.0125383      1.00828   0.00133187
      19.9267      1.13310    0.0109337      1.00353   0.00158814
      19.9600      1.13410    0.0112586      1.00435   0.00192567
      19.9933      1.13313    0.0118456      1.00564   0.00105646
      20.0265      1.13693    0.0124114      1.00454  0.000787380
      20.0598      1.13666    0.0123769      1.00327  0.000550075
      20.0930      1.13234    0.0115328      1.00250  0.000897113
      20.1263      1.12626    0.0111117      1.00337  0.000678088
      20.1596      1.13143    0.0119378      1.00376  0.000941303
      20.1928      1.13699    0.0120503      1.00507  0.000887959
      20.2261      1.13302    0.0114198      1.00651   0.00164083
      20.2594      1.12364    0.0107172      1.00773   0.00156218
      20.2926      1.12434    0.0107337      1.00689  0.000878534
      20.3259      1.11983    0.0107327      1.00663  0.000966046
      20.3591      1.11979    0.0107429      1.00598  0.000751909
      20.3924      1.12218    0.0103552      1.00897   0.00108480
      20.4257      1.12487    0.0101942      1.01187   0.00129170
      20.4589      1.11840    0.0103677      1.01081   0.00126315
      20.4922      1.11904    0.0104419      1.00775  0.000839765
      20.5254      1.12571    0.0118145      1.00714  0.000862435
      20.5587      1.11937    0.0112542      1.00679  0.000928186
      20.5920      1.12504    0.0109570      1.00611   0.00106904
      20.6252      1.12276    0.0103923      1.00835   0.00176774
      20.6585      1.12243    0.0105793      1.01088  0.000922068
      20.6917      1.12616    0.0114921      1.00932  0.000865347
      20.7250      1.12676    0.0110599      1.00809  0.000825077
      20.7583      1.12374    0.0103021      1.00553   0.00128396
      20.7915      1.11966    0.0104280      1.00603  0.000806932
      20.8248      1.12267    0.0110906      1.00527   0.00105504
      20.8581      1.12539    0.0109720      1.00607  0.000777625
      20.8913      1.12331    0.0107001      1.00642   0.00124641
      20.9246      1.11591    0.0103613      1.00719   0.00128077
      20.9578      1.11892    0.0107558      1.00615  0.000754511
      20.9911      1.11570    0.0106441      1.00764  0.000842292
      21.0244      1.11912    0.0108075      1.00842  0.000627920
      21.0576      1.12293    0.0103850      1.01469   0.00178404
      21.0909      1.12770   0.00993661      1.02193   0.00253844
      21.1241      1.11071   0.00906729      1.02345   0.00216380
      21.1574      1.11796   0.00991452      1.02056  0.000906187
      21.1907      1.11024   0.00932884      1.02000   0.00200923
      21.2239      1.11899   0.00974493      1.01835   0.00190851
      21.2572      1.12054   0.00996037      1.01093   0.00165294
      21.2905      1.11610   0.00986008      1.01235   0.00108753
      21.3237      1.11375   0.00970171      1.01253  0.000885965
      21.3570      1.11487   0.00999876      1.01155   0.00122936
      21.3902      1.11304    0.0100775      1.01214  0.000988499
      21.4235      1.11583   0.00996083      1.01112  0.000845253
      21.4568      1.11263    0.0102192      1.01124   0.00117953
      21.4900      1.11469    0.0100060      1.01019   0.00129851
      21.5233      1.11059    0.0101001      1.01041   0.00123507
      21.5565      1.11090    0.0102808      1.00925  0.000866504
      21.5898      1.11442    0.0100264      1.00894   0.00113501
      21.6231      1.11685    0.0102035      1.01232   0.00112552
      21.6563      1.11483   0.00965182      1.01377  0.000981888
      21.6896      1.11074   0.00942326      1.01450   0.00173170
      21.7228      1.11634   0.00974645      1.01509   0.00166360
      21.7561      1.11545    0.0101093      1.01951   0.00144657
      21.7894      1.11496   0.00952691      1.02310   0.00189268
      21.8226      1.12378   0.00992389      1.02280   0.00132264
      21.8559      1.09799   0.00866222      1.02717   0.00261242
      21.8892      1.11075   0.00898934      1.02311   0.00178987
      21.9224      1.10701   0.00855047      1.01271   0.00403723
      21.9557      1.10807   0.00857406      1.01595   0.00109380
      21.9889      1.09943   0.00784532      1.01528   0.00146742
      22.0222      1.10818   0.00905863      1.01584   0.00223293
      22.0555      1.10690   0.00870992      1.01925   0.00164524
      22.0887      1.10949   0.00894728      1.01786   0.00131480
      22.1220      1.10347   0.00914200      1.01725   0.00222081
      22.1552      1.10528   0.00881893      1.01311   0.00162730
      22.1885      1.09969   0.00860631      1.01221   0.00143658
      22.2218      1.10097   0.00927110      1.00929  0.000833422
      22.2550      1.10589   0.00907726      1.00903   0.00159582
      22.2883      1.11034   0.00948135      1.01321   0.00119335
      22.3215      1.10609   0.00850355      1.01307   0.00124154
      22.3548      1.09862   0.00853984      1.01345   0.00171304
      22.3881      1.10708   0.00912834      1.01291   0.00149850
      22.4213      1.10391   0.00942555      1.01681   0.00168984
      22.4546      1.10587   0.00928616      1.01720   0.00112712
      22.4879      1.11385    0.0101280      1.01699   0.00100196
      22.5211      1.09768   0.00883346      1.02120   0.00126978
      22.5544      1.10936   0.00901467      1.02123   0.00155172
      22.5876      1.10790   0.00935053      1.01230   0.00316002
      22.6209      1.09994   0.00760881      1.01873   0.00252563
      22.6542      1.08817   0.00694700      1.01536   0.00236908
      22.6874      1.10185   0.00868218      1.01216   0.00198094
      22.7207      1.09881   0.00846787      1.01371   0.00165810
      22.7539      1.10707   0.00902666      1.01240   0.00112437
      22.7872      1.10262   0.00944515      1.01397   0.00204573
      22.8205      1.10534   0.00905937      1.01240   0.00119608
      22.8537      1.09909   0.00884501      1.01419   0.00159062
      22.8870      1.09961   0.00924223      1.01128   0.00113017
      22.9202      1.10485   0.00863995      1.01211   0.00196423
      22.9535      1.10732   0.00864287      1.01657   0.00161573
      22.9868      1.10442   0.00847688      1.01388   0.00152731
      23.0200      1.09434   0.00845173      1.01295   0.00170476
      23.0533      1.10526   0.00904376      1.01099   0.00160632
      23.0866      1.10030   0.00932903      1.01377   0.00142972
      23.1198      1.10189   0.00909268      1.01289  0.000968537
      23.1531      1.10486   0.00961760      1.01336  0.000757014
      23.1863      1.09156   0.00810668      1.01625   0.00126420
      23.2196      1.09992   0.00828563      1.01525   0.00113609
      23.2529      1.09769   0.00860701      1.00983   0.00175254
      23.2861      1.09256   0.00778128      1.01456   0.00111627
      23.3194      1.08860   0.00772095      1.01197   0.00136029
      23.3526      1.09431   0.00808943      1.01175   0.00121705
      23.3859      1.09184   0.00812992      1.01539   0.00140213
      23.4192      1.10084   0.00863304      1.01712   0.00177943
      23.4524      1.09544   0.00840185      1.02172   0.00289423
      23.4857      1.10690   0.00845233      1.02128   0.00223679
      23.5189      1.09296   0.00758081      1.02540   0.00273652
      23.5522      1.09252   0.00804929      1.02349   0.00215638
      23.5855      1.10822   0.00675083      1.02728   0.00532460
      23.6187      1.12127   0.00821357      1.03955   0.00371409
      23.6520      1.11044   0.00554935      1.03846   0.00423663
      23.6853      1.08802   0.00538585      1.04243   0.00645619
      23.7185      1.12236   0.00763907      1.04112   0.00572420
      23.7518      1.10904   0.00962655      1.05673    0.0107589
      23.7850      1.09918   0.00433784      1.06359   0.00453111
      23.8183      1.15063   0.00680222      1.11276    0.0127612
      23.8516      1.10742   0.00633378      1.05982   0.00815407
      23.8848      1.10202    0.0144556      1.13881    0.0252890
      23.9181      1.11593   0.00440789      1.08804   0.00763864
      23.9513      1.07103   0.00544002      1.04061   0.00949644
      23.9846      1.07772   0.00705370      1.01393   0.00431592
      24.0179      1.11047   0.00629532      1.01551   0.00434772
      24.0511      1.08566   0.00646649      1.02035   0.00284587
      24.0844      1.08933   0.00634651      1.02091   0.00226006
      24.1177      1.06984   0.00632998      1.01797   0.00204020
      24.1509      1.08263   0.00654736      1.01159   0.00104553
      24.1842      1.08626   0.00667624      1.02181   0.00385597
      24.2174      1.07354   0.00631101      1.00998  0.000757550
      24.2507      1.07073   0.00589011      1.01076   0.00103414
      24.2840      1.08411   0.00691197      1.01446   0.00198712
      24.3172      1.06389   0.00670629      1.00890   0.00105725
      24.3505      1.06702   0.00628971      1.00492   0.00139482
      24.3837      1.07035   0.00670322      1.00237   0.00136502
      24.4170      1.07371   0.00619929      1.01556  0.000933227
      24.4503      1.06337   0.00640912      1.00942  0.000604865
      24.4835      1.07592   0.00619523      1.01464  0.000976132
      24.5168      1.07167   0.00639632      1.00695   0.00128217
      24.5500      1.07538   0.00660385      1.01561   0.00182531
      24.5833      1.08011   0.00643249      1.01243  0.000969876
      24.6166      1.07250   0.00698112      1.01170   0.00134907
      24.6498      1.07270   0.00683996      1.00593   0.00145438
      24.6831      1.08222   0.00635962      1.00973   0.00144797
      24.7164      1.07346   0.00668653      1.01236   0.00150939
      24.7496      1.07864   0.00614087      1.01464   0.00117944
      24.7829      1.06322   0.00616667      1.01372   0.00169596
      24.8161      1.07858   0.00655667      1.01055   0.00120184
      24.8494      1.08460   0.00608361      1.02736   0.00470196
      24.8827      1.06623   0.00558045      1.01348  0.000886351
      24.9159      1.07146   0.00427940      1.02173   0.00182735
      24.9492      1.09024   0.00756754      1.03786   0.00497296
      24.9824      1.03374   0.00562218      1.02509   0.00725276
      25.0157      1.02291   0.00373285      1.00442   0.00766369
      25.0490      1.05215   0.00983781     0.972543    0.0149628
      25.0822      1.09084   0.00670470      1.22455    0.0367885
      25.1155     0.950000      0.00000      1.26471     0.126175
      25.1487      1.19887    0.0108605      1.29786    0.0293551
      25.1820      1.09678    0.0203842      1.11733    0.0470167
      25.2153      1.30922    0.0397627      1.77259     0.150841
      25.2485      1.27196    0.0264776      1.48060    0.0491108
      25.2818     0.963598   0.00143340      1.21533    0.0470055
      25.3151      1.12502    0.0216883      1.03131    0.0451220
      25.3483      1.24813   0.00773263      1.05971    0.0357565
      25.3816      1.08208   0.00414830      1.07620    0.0213777
      25.4148      1.08897   0.00675856      1.06461   0.00908966
      25.4481      1.02125   0.00351564      1.04152   0.00746102
      25.4814      1.07175   0.00538280      1.01950   0.00292855
      25.5146      1.08776   0.00454662      1.05680    0.0105413
      25.5479      1.05799   0.00452015      1.01973   0.00166364
      25.5811      1.06234   0.00353546      1.02824   0.00208510
      25.6144      1.07477   0.00540186      1.03928   0.00664484
      25.6477      1.03407   0.00503564      1.02230   0.00365085
      25.6809      1.03649   0.00356079      1.00845   0.00267849
      25.7142      1.05887   0.00501499      1.00018   0.00402274
      25.7474      1.07687   0.00450560      1.05243   0.00463304
      25.7807      1.03707   0.00331707      1.02644   0.00405034
      25.8140      1.08500   0.00387163      1.04972   0.00420943
      25.8472      1.05143   0.00233321      1.01974   0.00495086
      25.8805      1.07972   0.00904116      1.08291    0.0113185
      25.9138      1.09110   0.00592970      1.07438   0.00650174
      25.9470      1.02951   0.00567098      1.05840    0.0210905
      25.9803      1.07429    0.0140801      1.00100    0.0373960
      26.0135      1.51221    0.0347292      1.08676    0.0591005
      26.0468      1.08967    0.0185215      1.31508     0.100637
      26.0801      1.18901    0.0287302      1.28908    0.0755582
      26.1133     0.950000      0.00000      1.12887    0.0444358
      26.1466      1.13654   0.00798674      1.05458    0.0156894
      26.1798      1.16613   0.00460215      1.23652    0.0618968
      26.2131      1.04330   0.00509912      1.02826    0.0103300
      26.2464      1.12810   0.00833193      1.07814    0.0168804
      26.2796      1.15515    0.0126077      1.13035    0.0259563
      26.3129     0.950000      0.00000      1.04567    0.0314341
      26.3462     0.981641   0.00353203     0.967196    0.0166133
      26.3794      1.07040    0.0106342     0.963254    0.0140384
      26.4127      1.10875   0.00547170      1.32333    0.0407298
      26.4459         -NaN         -NaN         -NaN         -NaN
