trecsQ4.txt
 -- Radiance Enhancement %
Wavelength | Impact Enhancement | Impact Error | Background Enhancement | Backgrdound Error
      15.8356         -NaN         -NaN         -NaN         -NaN
      15.8689      4.17130    0.0541460      1.28476     0.190289
      15.9021      1.91823    0.0538275      1.11338    0.0398045
      15.9354      1.65641    0.0358569      1.17319    0.0391300
      15.9687      1.31458    0.0143812      1.13732    0.0700309
      16.0019      1.30959    0.0216519      1.32771     0.184782
      16.0352      1.47511    0.0252430      1.33594     0.165146
      16.0684      1.53644    0.0162677     0.951782   0.00591161
      16.1017      1.59560    0.0236045      1.08090    0.0265507
      16.1350      1.52852    0.0135910      1.29466     0.191111
      16.1682      1.40741    0.0157396      1.37700     0.115899
      16.2015      1.70748    0.0293605      1.12415    0.0239633
      16.2348      1.86633    0.0393523      1.43790     0.156797
      16.2680      1.61880    0.0173786      1.54728     0.268359
      16.3013      1.70564    0.0103627      1.43906     0.258494
      16.3345      1.82642    0.0255948      1.09091    0.0343842
      16.3678      1.57386    0.0228279      1.02085    0.0757156
      16.4011      1.80403    0.0605316      1.19107    0.0291859
      16.4343      1.34576    0.0202656      1.18433    0.0432612
      16.4676      1.40796    0.0268049      1.33079    0.0880037
      16.5008      4.62933     0.158734      1.50162     0.289143
      16.5341     0.950000      0.00000      5.60447      6.14414
      16.5674      3.33787     0.123581      1.24779    0.0684842
      16.6006      2.27180    0.0353663      1.56400     0.184869
      16.6339      1.87917    0.0540238      1.46770     0.263379
      16.6671      1.62154    0.0237104      2.59546      1.80080
      16.7004      5.71681     0.340092      5.39173      7.95231
      16.7337     0.950000      0.00000      8.81901      22.7695
      16.7669     0.950000      0.00000     0.950000      0.00000
      16.8002     0.950000      0.00000     0.950000      0.00000
      16.8335     0.950000      0.00000     0.950000      0.00000
      16.8667     0.950000      0.00000     0.950000      0.00000
      16.9000     0.950000      0.00000     0.950000      0.00000
      16.9332     0.986363   0.00742042     0.950000      0.00000
      16.9665     0.986687   0.00500091     0.950000      0.00000
      16.9998      1.05349   0.00773824     0.988453   0.00898430
      17.0330      1.10473   0.00733710      1.00560    0.0197350
      17.0663      1.09632   0.00633001     0.976869   0.00518855
      17.0995      1.15693    0.0112456     0.984005    0.0106555
      17.1328      1.15169    0.0105232     0.982645   0.00735092
      17.1661      1.11454   0.00933581     0.979155    0.0125174
      17.1993      1.11638   0.00985338     0.989856    0.0112421
      17.2326      1.12136   0.00914703     0.990019   0.00427885
      17.2658      1.14438   0.00972823     0.990259   0.00518409
      17.2991      1.16744    0.0105327     0.992444   0.00696661
      17.3324      1.16184   0.00966211     0.971617    0.0138864
      17.3656      1.15569    0.0110145     0.983617   0.00494204
      17.3989      1.16673   0.00996551      1.01154   0.00626116
      17.4322      1.16980    0.0115279     0.997369   0.00289004
      17.4654      1.18220    0.0139720     0.985800   0.00724371
      17.4987      1.18613    0.0132599     0.984414   0.00354356
      17.5319      1.17189    0.0121790     0.994835   0.00150627
      17.5652      1.16872    0.0121592     0.985749   0.00311694
      17.5985      1.17706    0.0134923     0.983297   0.00530207
      17.6317      1.16944    0.0126576     0.985872   0.00490778
      17.6650      1.18762    0.0127681      1.00123   0.00298682
      17.6982      1.19871    0.0137890      1.00398   0.00434653
      17.7315      1.19963    0.0136908     0.998719   0.00167102
      17.7648      1.20763    0.0141492     0.999328   0.00268110
      17.7980      1.20887    0.0142447     0.998226   0.00120456
      17.8313      1.20770    0.0141919     0.998221   0.00110550
      17.8645      1.21264    0.0150159      1.00043  0.000742518
      17.8978      1.21507    0.0154722      1.00005   0.00115115
      17.9311      1.21810    0.0152867     0.999178   0.00105192
      17.9643      1.21899    0.0156391     0.999596  0.000938984
      17.9976      1.21930    0.0155242     0.996374   0.00135270
      18.0309      1.21832    0.0159283     0.998595   0.00104439
      18.0641      1.21749    0.0160752      1.00336   0.00264785
      18.0974      1.22485    0.0166485      1.00070   0.00160560
      18.1306      1.22707    0.0168626     0.996936   0.00130976
      18.1639      1.22639    0.0162724     0.997512   0.00127915
      18.1972      1.22292    0.0164131     0.999173   0.00126409
      18.2304      1.21793    0.0167118     0.995016   0.00120155
      18.2637      1.21656    0.0168638     0.993695   0.00232293
      18.2969      1.20929    0.0163535     0.995309   0.00192188
      18.3302      1.21004    0.0160830      1.00192   0.00219591
      18.3635      1.21644    0.0169115      1.00201   0.00234837
      18.3967      1.22442    0.0171776     0.999303  0.000895208
      18.4300      1.23340    0.0182996     0.998711   0.00192776
      18.4632      1.23305    0.0180701     0.997762  0.000796590
      18.4965      1.23128    0.0174588     0.998787   0.00116245
      18.5298      1.22531    0.0181366     0.998714   0.00124518
      18.5630      1.22524    0.0177406     0.997126   0.00165241
      18.5963      1.22663    0.0180255     0.996645   0.00143196
      18.6296      1.22858    0.0183880     0.998776   0.00136759
      18.6628      1.22309    0.0174589     0.999176   0.00135626
      18.6961      1.22099    0.0178354     0.998538  0.000756416
      18.7293      1.22342    0.0181141      1.00158   0.00260416
      18.7626      1.22719    0.0183401      1.00046   0.00193015
      18.7959      1.22523    0.0183377     0.996978  0.000904164
      18.8291      1.22534    0.0190080     0.997362   0.00133843
      18.8624      1.22705    0.0187764      1.00035   0.00168443
      18.8956      1.22117    0.0180009      1.00151   0.00263190
      18.9289      1.21587    0.0174237     0.996289   0.00145021
      18.9622      1.21062    0.0173838     0.997268   0.00141680
      18.9954      1.20730    0.0174181      1.00070   0.00190967
      19.0287      1.20407    0.0181868     0.997953   0.00183457
      19.0620      1.22609    0.0179897      1.00077   0.00237134
      19.0952      1.21229    0.0167870      1.00022   0.00135763
      19.1285      1.20455    0.0165233     0.996891   0.00305566
      19.1617      1.21679    0.0178273     0.998207   0.00102583
      19.1950      1.19193    0.0179585     0.996913   0.00138272
      19.2283      1.18482    0.0167567     0.995456   0.00212953
      19.2615      1.17023    0.0155523     0.996000   0.00174685
      19.2948      1.16599    0.0163765     0.999132   0.00217367
