trecsQ3.txt
 -- Radiance Enhancement %
Wavelength | Impact Enhancement | Impact Error | Background Enhancement | Backgrdound Error
      15.8356         -NaN         -NaN         -NaN         -NaN
      15.8689      4.95540     0.389905      1.50326     0.124816
      15.9021      1.61562    0.0607984     0.955199    0.0172440
      15.9354      1.86430    0.0310435      1.27020    0.0521839
      15.9687      1.74319    0.0200195      1.14003    0.0630975
      16.0019      1.52464    0.0565750      1.30654    0.0642237
      16.0352      1.78861    0.0538293      1.47125    0.0609386
      16.0684      1.88150    0.0626431      1.37232    0.0739903
      16.1017      1.51315    0.0127246      1.13342    0.0289420
      16.1350      1.67930    0.0441743      1.29915     0.109543
      16.1682      1.42051    0.0365021      1.36809    0.0565582
      16.2015      1.65429    0.0288949      1.43739    0.0421703
      16.2348      1.45422    0.0166369      1.47705    0.0641295
      16.2680      1.80511    0.0365364      1.41815     0.125263
      16.3013      1.85728    0.0593673      1.49742    0.0428871
      16.3345      1.74215    0.0354577      1.43928    0.0807449
      16.3678      1.35799    0.0320923      1.02302    0.0589846
      16.4011      1.38553    0.0351906      1.37106    0.0576666
      16.4343     0.977537   0.00419102     0.957289    0.0131852
      16.4676      1.19277    0.0186702      1.28967     0.280749
      16.5008      4.50018     0.228900      1.66165    0.0917396
      16.5341     0.950000      0.00000      5.19041      12.0411
      16.5674      2.50716     0.119627     0.966553    0.0481906
      16.6006      3.12310     0.111330      1.71283     0.123362
      16.6339      2.62436    0.0334342      1.45826     0.191282
      16.6671      2.28159     0.137080      1.79046     0.137264
      16.7004      5.71325     0.383374      3.01619     0.349040
      16.7337     0.950000      0.00000     0.950000      0.00000
      16.7669     0.950000      0.00000     0.950000      0.00000
      16.8002     0.950000      0.00000     0.950000      0.00000
      16.8335     0.950000      0.00000     0.950000      0.00000
      16.8667     0.959533   0.00147102     0.950000      0.00000
      16.9000      1.02118   0.00919225     0.950000      0.00000
      16.9332     0.958910   0.00164245     0.950000      0.00000
      16.9665     0.997676   0.00889720     0.950000      0.00000
      16.9998      1.06191    0.0134910     0.950382  0.000960275
      17.0330      1.11634    0.0119656      1.00293    0.0146314
      17.0663      1.12017   0.00692273     0.963322   0.00595581
      17.0995      1.17197   0.00883982      1.01903    0.0116997
      17.1328      1.12417   0.00836306     0.974683    0.0240371
      17.1661      1.07203   0.00987012     0.951708   0.00400332
      17.1993      1.10022    0.0109472     0.987301   0.00394127
      17.2326      1.12787   0.00710345      1.01418   0.00533901
      17.2658      1.11792   0.00799813     0.982283   0.00426292
      17.2991      1.12747    0.0100616     0.992261   0.00413376
      17.3324      1.14564   0.00822228     0.974252   0.00596096
      17.3656      1.12950   0.00951057     0.965877   0.00463492
      17.3989      1.14026    0.0113725     0.984932   0.00513813
      17.4322      1.15528    0.0110031     0.995178   0.00409166
      17.4654      1.16759    0.0104945     0.987413   0.00541948
      17.4987      1.16407    0.0104292     0.982250   0.00676402
      17.5319      1.17110    0.0119372     0.984958   0.00278788
      17.5652      1.16637    0.0130109     0.980712   0.00479435
      17.5985      1.15856    0.0116231     0.985924   0.00669169
      17.6317      1.16920    0.0119563     0.981313   0.00313385
      17.6650      1.17842    0.0130143     0.991888   0.00351917
      17.6982      1.18516    0.0123157      1.00044   0.00351424
      17.7315      1.19383    0.0128630     0.996472   0.00236916
      17.7648      1.20192    0.0136735      1.00424   0.00291509
      17.7980      1.19263    0.0129593     0.997762   0.00471203
      17.8313      1.18645    0.0131287     0.994021   0.00160261
      17.8645      1.19253    0.0131313     0.998849   0.00132978
      17.8978      1.19642    0.0133460      1.00164   0.00192823
      17.9311      1.19691    0.0138898     0.998684   0.00219338
      17.9643      1.20022    0.0142492     0.999531   0.00177678
      17.9976      1.19894    0.0138497     0.996409   0.00187056
      18.0309      1.19666    0.0146002     0.995564   0.00107802
      18.0641      1.20132    0.0149654     0.998875   0.00226578
      18.0974      1.20216    0.0142530     0.999259   0.00154398
      18.1306      1.20511    0.0146464     0.997256   0.00176380
      18.1639      1.20668    0.0155595     0.995749   0.00351929
      18.1972      1.20745    0.0154705     0.996211   0.00153280
      18.2304      1.20506    0.0156472     0.994506   0.00239797
      18.2637      1.19692    0.0149589     0.994959   0.00395652
      18.2969      1.19252    0.0144011     0.992390   0.00267797
      18.3302      1.20012    0.0155251     0.998191   0.00294427
      18.3635      1.20331    0.0156165      1.00100   0.00294149
      18.3967      1.21363    0.0164172     0.998522   0.00224009
      18.4300      1.21799    0.0157856      1.00183   0.00325277
      18.4632      1.21207    0.0154790      1.00024   0.00348969
      18.4965      1.20756    0.0155345     0.996619   0.00121668
      18.5298      1.21031    0.0150237     0.994394   0.00175379
      18.5630      1.21519    0.0161820     0.992021   0.00309963
      18.5963      1.20782    0.0159050     0.994814   0.00247595
      18.6296      1.20601    0.0158892     0.996530   0.00150491
      18.6628      1.20543    0.0159582     0.997969   0.00183856
      18.6961      1.20158    0.0163550     0.999344   0.00230970
      18.7293      1.20054    0.0160546     0.992731   0.00271380
      18.7626      1.20912    0.0153800     0.996532   0.00197215
      18.7959      1.20548    0.0160318     0.999880   0.00234556
      18.8291      1.20020    0.0156053     0.995135  0.000957405
      18.8624      1.20128    0.0161493     0.992704   0.00137385
      18.8956      1.20180    0.0165816     0.991161  0.000975906
      18.9289      1.19742    0.0157840     0.997837   0.00165588
      18.9622      1.19433    0.0160906      1.00113   0.00174625
      18.9954      1.18950    0.0160405     0.994152   0.00181245
      19.0287      1.17553    0.0137320      1.00041   0.00169547
      19.0620      1.18703    0.0183703      1.00395   0.00214785
      19.0952      1.19333    0.0195142      1.01056   0.00334488
      19.1285      1.18470    0.0159216      1.01276   0.00229162
      19.1617      1.17722    0.0138721      1.00487   0.00201018
      19.1950      1.18246    0.0144062     0.994323   0.00216410
      19.2283      1.18024    0.0150321     0.991437   0.00403218
      19.2615      1.16505    0.0146440     0.995432   0.00304604
      19.2948      1.14856    0.0133445     0.994676   0.00152999
      19.3280      1.14987    0.0135284     0.998571   0.00239973
      19.3613      1.14114    0.0132914     0.998233   0.00179367
      19.3946      1.14585    0.0127706     0.991282   0.00126716
      19.4278      1.15853    0.0134848     0.997106   0.00181658
      19.4611      1.16430    0.0145668      1.00146   0.00199067
      19.4943      1.15476    0.0129644     0.995695   0.00110979
      19.5276      1.14801    0.0132089     0.993316  0.000996872
      19.5609      1.15220    0.0138830     0.992714  0.000965351
      19.5941      1.15139    0.0134001      1.00069   0.00142172
      19.6274      1.15982    0.0148638     0.999944   0.00142761
      19.6607      1.15465    0.0142612     0.995608   0.00162331
      19.6939      1.14429    0.0135708      1.00138   0.00121335
      19.7272      1.13776    0.0125035      1.00589   0.00152103
      19.7604      1.14201    0.0139032      1.01209   0.00258106
      19.7937      1.13919    0.0128883      1.01462   0.00182514
      19.8270      1.12731    0.0116293      1.00572   0.00196637
      19.8602      1.13127    0.0112249     0.995735   0.00272568
      19.8935      1.12546    0.0109477     0.992082   0.00424173
      19.9267      1.11601    0.0110925     0.996273   0.00247335
      19.9600      1.11512    0.0105763     0.996470   0.00150327
      19.9933      1.12250    0.0109193      1.00006   0.00144255
      20.0265      1.11759    0.0110512     0.998327   0.00141253
      20.0598      1.12032    0.0107931     0.995366   0.00144910
      20.0930      1.12710    0.0109567     0.998236   0.00189522
      20.1263      1.12842    0.0116591      1.00020   0.00199337
      20.1596      1.11909    0.0104194     0.995307  0.000882373
      20.1928      1.11703    0.0111626     0.994429  0.000975985
      20.2261      1.12222    0.0112844     0.993419  0.000638647
      20.2594      1.11759    0.0109853      1.00070   0.00151054
      20.2926      1.11845    0.0116389     0.998062   0.00130280
      20.3259      1.11380    0.0109637     0.996263   0.00134271
      20.3591      1.10868    0.0104948      1.00047   0.00111112
      20.3924      1.10829    0.0110529      1.00310   0.00143581
      20.4257      1.11355    0.0109860      1.00701   0.00223809
      20.4589      1.11938    0.0114221      1.00991   0.00165101
      20.4922      1.11056    0.0103479      1.00265  0.000764133
      20.5254      1.11654    0.0104333     0.997312   0.00183249
      20.5587      1.11268    0.0105822     0.995706   0.00289476
      20.5920      1.10825    0.0105751     0.998791   0.00197949
      20.6252      1.10517    0.0105681     0.998265   0.00186276
      20.6585      1.10849    0.0108011      1.00207   0.00216980
      20.6917      1.10056    0.0111138     0.999268   0.00239905
      20.7250      1.10344    0.0108796     0.995540   0.00140436
      20.7583      1.11012    0.0102548     0.998003   0.00167249
      20.7915      1.11374    0.0114739      1.00062   0.00172818
      20.8248      1.10816    0.0107114     0.995414   0.00121158
      20.8581      1.10569    0.0112601     0.995968  0.000766274
      20.8913      1.11088    0.0115759     0.994005  0.000690001
      20.9246      1.10817    0.0103605      1.00168   0.00143368
