trecsQ2.txt
 -- Radiance Enhancement %
Wavelength | Impact Enhancement | Impact Error | Background Enhancement | Backgrdound Error
      15.8356         -NaN         -NaN         -NaN         -NaN
      15.8689      1.46646    0.0680016     0.950000      0.00000
      15.9021      1.54690    0.0914031      1.20342    0.0826168
      15.9354      1.61349    0.0472651      1.04402    0.0839730
      15.9687      1.18202    0.0302644     0.954489    0.0104912
      16.0019      1.83004    0.0821486      1.04005    0.0842162
      16.0352      1.79913    0.0490159      1.07644    0.0232613
      16.0684      1.01306   0.00784478     0.950000      0.00000
      16.1017      1.45237    0.0180516      1.22899    0.0229371
      16.1350      1.81065    0.0334322      1.00759    0.0477859
      16.1682      2.11212    0.0833488      1.37974    0.0904722
      16.2015      1.40929    0.0188985      1.02401    0.0505982
      16.2348      1.83007    0.0486681      1.33877     0.116307
      16.2680      2.01047    0.0603617      1.22893    0.0606761
      16.3013      2.19360    0.0772455      1.06928    0.0334834
      16.3345      1.35927    0.0432551      1.12815    0.0458763
      16.3678      1.09110    0.0192864      1.20411     0.104273
      16.4011      1.41057    0.0386723      1.19061     0.150120
      16.4343      1.17279    0.0263320      1.35497     0.113643
      16.4676      1.37194    0.0461845      1.22332     0.115837
      16.5008      2.45377     0.132529     0.950000      0.00000
      16.5341      4.39464     0.486231      8.44649      5.58202
      16.5674      1.94660     0.153428      1.26879     0.149626
      16.6006      2.66588     0.168834      1.07918     0.123814
      16.6339      1.16266    0.0274795     0.950000      0.00000
      16.6671      5.16713     0.509321      1.14380     0.172880
      16.7004      34.8755      4.17690      1.06969    0.0843682
      16.7337      4.61042     0.428443      1.81898     0.301176
      16.7669     0.950000      0.00000     0.950000      0.00000
      16.8002     0.950000      0.00000      1.02873    0.0623825
      16.8335     0.950000      0.00000     0.950000      0.00000
      16.8667      1.08558    0.0188991      1.00626    0.0350342
      16.9000      1.03514   0.00995441     0.953007   0.00706617
      16.9332      1.01631   0.00961308     0.953876   0.00870651
      16.9665      1.00629   0.00842293     0.997767    0.0239696
      16.9998      1.15554   0.00901273     0.991326    0.0115040
      17.0330      1.19649   0.00935726     0.982629    0.0144092
      17.0663      1.16261    0.0110463     0.990645    0.0162984
      17.0995      1.19534    0.0121552     0.962111    0.0143364
      17.1328      1.19372    0.0152571     0.999846    0.0105802
      17.1661      1.15259    0.0152010      1.05561   0.00771322
      17.1993      1.16379    0.0105822      1.03528   0.00741703
      17.2326      1.16637   0.00855702     0.992814   0.00788530
      17.2658      1.15358   0.00970891      1.00921   0.00528758
      17.2991      1.18003    0.0109198      1.01642   0.00356904
      17.3324      1.12877   0.00772810     0.997982   0.00472752
      17.3656      1.15731    0.0130892      1.00409   0.00597434
      17.3989      1.21100    0.0170898      1.01583   0.00866879
      17.4322      1.18479    0.0136348     0.991421   0.00334880
      17.4654      1.17203    0.0140816      1.00097   0.00237416
      17.4987      1.17435    0.0148878     0.984389   0.00160971
      17.5319      1.18426    0.0146289     0.999647   0.00254981
      17.5652      1.17835    0.0146649     0.986500   0.00452264
      17.5985      1.17793    0.0147355     0.993607   0.00106715
      17.6317      1.17186    0.0131514     0.997524   0.00308469
      17.6650      1.20508    0.0149624     0.996586   0.00284389
      17.6982      1.21397    0.0156974     0.994696   0.00229024
      17.7315      1.20684    0.0153597     0.995713   0.00181129
      17.7648      1.21600    0.0157739     0.992857   0.00157645
      17.7980      1.21408    0.0162539     0.998562   0.00198541
      17.8313      1.20934    0.0164170      1.00606   0.00170184
      17.8645      1.21293    0.0159100      1.00324   0.00200715
      17.8978      1.21200    0.0155789     0.998962   0.00160220
      17.9311      1.21278    0.0159457      1.00141   0.00147665
      17.9643      1.21711    0.0161195      1.00319   0.00161431
      17.9976      1.20659    0.0155072      1.00054  0.000754370
      18.0309      1.21133    0.0165126      1.00193   0.00231216
      18.0641      1.22280    0.0175892      1.00345   0.00302260
      18.0974      1.21878    0.0172874     0.999003   0.00172025
      18.1306      1.21154    0.0168550     0.999952   0.00105244
      18.1639      1.21304    0.0167508     0.995738   0.00117196
      18.1972      1.21645    0.0175262      1.00034   0.00113455
      18.2304      1.21146    0.0171304     0.995843  0.000483157
      18.2637      1.20626    0.0172701     0.998170   0.00135479
      18.2969      1.20501    0.0175287     0.999428   0.00250989
      18.3302      1.21934    0.0169657     0.998516   0.00266206
      18.3635      1.22510    0.0175821     0.998258   0.00203161
      18.3967      1.22454    0.0176482     0.998026  0.000882369
      18.4300      1.22787    0.0177755     0.996289  0.000900994
      18.4632      1.22575    0.0181386      1.00096   0.00186303
      18.4965      1.22131    0.0174490      1.00129   0.00130560
      18.5298      1.21172    0.0173054     0.996953  0.000605985
      18.5630      1.21126    0.0175529     0.996827   0.00142317
      18.5963      1.21912    0.0178239     0.993975   0.00208478
      18.6296      1.21766    0.0180408     0.994797   0.00235341
      18.6628      1.21048    0.0178370     0.996916   0.00294050
      18.6961      1.21212    0.0176638     0.998441   0.00225367
      18.7293      1.21794    0.0177169     0.999156   0.00288954
      18.7626      1.21997    0.0177567     0.998668   0.00197646
      18.7959      1.21396    0.0178063     0.996865   0.00153393
      18.8291      1.21253    0.0168602     0.999855   0.00157191
      18.8624      1.21668    0.0172278      1.00286   0.00246990
      18.8956      1.22075    0.0186799      1.00466   0.00372635
      18.9289      1.20353    0.0175271      1.00429   0.00313003
      18.9622      1.19613    0.0165315      1.00148   0.00285834
      18.9954      1.18618    0.0157476      1.00019   0.00361519
      19.0287      1.18257    0.0163174     0.999705   0.00223836
      19.0620      1.19558    0.0145601      1.00288   0.00179503
      19.0952      1.20444    0.0164472      1.00854   0.00279901
      19.1285      1.19755    0.0168720      1.00638   0.00195620
      19.1617      1.18952    0.0157667      1.00038   0.00193097
      19.1950      1.17151    0.0155218     0.997987  0.000922901
      19.2283      1.16680    0.0155988     0.996350   0.00131152
      19.2615      1.17188    0.0156019     0.990866   0.00276892
      19.2948      1.16402    0.0160572     0.990308   0.00281766
      19.3280      1.15146    0.0153015     0.994347   0.00391885
      19.3613      1.15466    0.0151642     0.995971   0.00197380
      19.3946      1.16697    0.0145569     0.997882   0.00251809
      19.4278      1.17049    0.0143106     0.997069   0.00238580
      19.4611      1.16532    0.0142724     0.995489   0.00155346
      19.4943      1.16514    0.0140974     0.999646   0.00159701
      19.5276      1.16933    0.0149233      1.00287   0.00243550
      19.5609      1.17006    0.0154361      1.00402   0.00315681
      19.5941      1.15580    0.0141184      1.00347   0.00239505
      19.6274      1.15351    0.0128131      1.00096   0.00267745
      19.6607      1.14693    0.0130811     0.999941   0.00311210
      19.6939      1.14607    0.0131977     0.999201   0.00249978
      19.7272      1.15415    0.0140279      1.00225   0.00168669
      19.7604      1.15781    0.0156425      1.00640   0.00198657
      19.7937      1.14615    0.0136994      1.00405  0.000930014
      19.8270      1.14022    0.0129963     0.997318   0.00221740
      19.8602      1.11767    0.0125403     0.994623   0.00135648
      19.8935      1.11884    0.0125916     0.993592   0.00263823
      19.9267      1.12635    0.0122063     0.991556   0.00195406
      19.9600      1.12625    0.0123630     0.993439   0.00213870
      19.9933      1.12402    0.0117664     0.995836   0.00230407
      20.0265      1.13011    0.0125071     0.998100   0.00154674
      20.0598      1.13312    0.0122007     0.999404   0.00181841
      20.0930      1.13234    0.0117554     0.997826   0.00159564
      20.1263      1.12751    0.0113403     0.997437   0.00130743
      20.1596      1.12933    0.0112368      1.00026   0.00145473
      20.1928      1.13264    0.0118980      1.00192   0.00204957
      20.2261      1.13300    0.0124650      1.00290   0.00278321
      20.2594      1.11920    0.0112489      1.00282   0.00222103
      20.2926      1.11647    0.0106149     0.999660   0.00291272
      20.3259      1.10821    0.0101435     0.998828   0.00227896
      20.3591      1.11342    0.0105076     0.998251   0.00195049
      20.3924      1.12186    0.0108372      1.00084   0.00163990
      20.4257      1.12892    0.0129556      1.00413   0.00139538
      20.4589      1.12199    0.0109111      1.00294   0.00114751
      20.4922      1.11819    0.0111187     0.999045   0.00138664
      20.5254      1.10791    0.0109946     0.998326  0.000584552
      20.5587      1.11015    0.0113809     0.997075   0.00132932
      20.5920      1.11371    0.0117113     0.994936   0.00179282
      20.6252      1.11221    0.0117790     0.994472   0.00228017
      20.6585      1.10680    0.0112982     0.996817   0.00246474
      20.6917      1.11012    0.0116333     0.997631   0.00149628
      20.7250      1.11617    0.0115908     0.998865   0.00200807
      20.7583      1.11911    0.0114609     0.996040   0.00164357
      20.7915      1.11532    0.0112098     0.996347   0.00149850
      20.8248      1.11741    0.0109020     0.999593   0.00152893
      20.8581      1.12134    0.0116291      1.00175   0.00215346
      20.8913      1.12306    0.0119672      1.00306   0.00243340
      20.9246      1.11188    0.0111941      1.00250   0.00137610
      20.9578      1.11158    0.0109729     0.999849   0.00273173
      20.9911      1.10717    0.0103695     0.999954   0.00213605
