trecsQ5.txt
 -- Radiance Enhancement %
Wavelength | Impact Enhancement | Impact Error | Background Enhancement | Backgrdound Error
      15.8356         -NaN         -NaN         -NaN         -NaN
      15.8689      3.34769    0.0713762      1.26758     0.121370
      15.9021      1.33164    0.0216596     0.961612    0.0311424
      15.9354      1.45469    0.0395085      1.05614    0.0865175
      15.9687      1.37839    0.0194460      1.18546    0.0876422
      16.0019      1.16015    0.0101389      1.44315     0.111731
      16.0352      1.45582    0.0360741      1.38699     0.120601
      16.0684      1.49706    0.0266371     0.950000      0.00000
      16.1017      1.33668    0.0406312     0.966127    0.0198571
      16.1350      1.30323    0.0230479      1.29734     0.108467
      16.1682      1.14037   0.00661718      1.28405     0.130658
      16.2015      1.56235    0.0192004     0.950000      0.00000
      16.2348      1.44772    0.0351976      1.31091     0.144705
      16.2680      1.19881    0.0401778      1.52586     0.101345
      16.3013      1.25891    0.0165982      1.34552     0.157427
      16.3345      1.39184    0.0101826     0.955750    0.0103022
      16.3678      1.19204    0.0337365     0.950000      0.00000
      16.4011      1.28192    0.0143823     0.963386    0.0271456
      16.4343      1.35761    0.0310179     0.952096   0.00466371
      16.4676      1.36282    0.0530234      1.01219    0.0889629
      16.5008      4.65869     0.374535      1.16060     0.158168
      16.5341     0.950000      0.00000      7.05811      8.78911
      16.5674      1.87418    0.0407740     0.987365    0.0852669
      16.6006      1.98627    0.0849774      1.47242     0.425671
      16.6339      2.55611    0.0905647      1.64409     0.433854
      16.6671      1.43901    0.0299949      3.60363      1.32838
      16.7004      9.91430      1.55879      19.1412      30.9145
      16.7337     0.950000      0.00000      3.61034      6.33036
      16.7669      1.03694    0.0152511      1.08422     0.138026
      16.8002      1.04533   0.00765853     0.950000      0.00000
      16.8335      1.15852   0.00949202     0.950000      0.00000
      16.8667      1.03063    0.0146722      1.03749    0.0361598
      16.9000      1.09663    0.0185316     0.950000      0.00000
      16.9332      1.18278    0.0136274     0.950000      0.00000
      16.9665      1.12654   0.00613296     0.954399    0.0110513
      16.9998      1.14593   0.00615682      1.01668    0.0164696
      17.0330      1.19883   0.00740817      1.05379    0.0244208
      17.0663      1.16727   0.00732647      1.01398    0.0213473
      17.0995      1.18865    0.0108816      1.01490   0.00889542
      17.1328      1.19111   0.00822193      1.01365    0.0118504
      17.1661      1.14280   0.00761816     0.990805   0.00729104
      17.1993      1.13733   0.00521059     0.981239   0.00815241
      17.2326      1.16992   0.00546392      1.00743   0.00765328
      17.2658      1.17728   0.00655981     0.992013    0.0101279
      17.2991      1.18027   0.00594105     0.983696    0.0106678
      17.3324      1.19421   0.00684854     0.962507   0.00760100
      17.3656      1.17609   0.00698100     0.985211   0.00639525
      17.3989      1.19035   0.00721675      1.02436   0.00353763
      17.4322      1.19565   0.00550610      1.00043   0.00269384
      17.4654      1.20511   0.00612757     0.984697   0.00253817
      17.4987      1.20829   0.00748147     0.991177   0.00532219
      17.5319      1.19589   0.00745034      1.00457   0.00299903
      17.5652      1.20534   0.00714554     0.987533   0.00492483
      17.5985      1.20847   0.00754858     0.984222   0.00274586
      17.6317      1.20451   0.00819872     0.990339   0.00391571
      17.6650      1.20944   0.00784033      1.00492   0.00121611
      17.6982      1.22039   0.00857667      1.01180   0.00233769
      17.7315      1.21828   0.00861931      1.00529   0.00238224
      17.7648      1.22300   0.00933033      1.00523   0.00246907
      17.7980      1.22565   0.00920922      1.00197   0.00282920
      17.8313      1.22244   0.00894885     0.998924   0.00238456
      17.8645      1.23124   0.00946127      1.00023   0.00166740
      17.8978      1.23677   0.00922821      1.00090  0.000748445
      17.9311      1.23416   0.00951455     0.997978  0.000652760
      17.9643      1.23228   0.00930034     0.998042   0.00120529
      17.9976      1.23798   0.00948469     0.993888  0.000917458
      18.0309      1.23665   0.00985723     0.997275  0.000574016
      18.0641      1.23972    0.0101998      1.00559   0.00162027
      18.0974      1.24187   0.00969331      1.00089   0.00160611
      18.1306      1.24402    0.0105922     0.994804   0.00152258
      18.1639      1.24878    0.0110830     0.998223   0.00173067
      18.1972      1.24580   0.00993865      1.00133  0.000980818
      18.2304      1.24444   0.00979780     0.995228   0.00190128
      18.2637      1.24332    0.0108425     0.994095   0.00165510
      18.2969      1.23427    0.0108505     0.995493   0.00167095
      18.3302      1.23542    0.0108611      1.00348   0.00225806
      18.3635      1.23917    0.0108020      1.00609   0.00106616
      18.3967      1.24886    0.0119399      1.00368   0.00173678
      18.4300      1.25510    0.0120631      1.00200   0.00171985
      18.4632      1.25340    0.0112868     0.998785   0.00156020
      18.4965      1.26028    0.0127763      1.00109   0.00197311
      18.5298      1.24608    0.0128676      1.00073   0.00211455
      18.5630      1.25090    0.0124496     0.996381   0.00179627
      18.5963      1.25032    0.0113933     0.996841   0.00151451
      18.6296      1.24825    0.0117996      1.00348   0.00176441
      18.6628      1.24509    0.0126394      1.00321   0.00172962
      18.6961      1.25062    0.0118022      1.00254   0.00215180
      18.7293      1.25018    0.0121644      1.00432   0.00146454
      18.7626      1.24383    0.0113210      1.00269  0.000939769
      18.7959      1.25129    0.0120581     0.997440  0.000934278
      18.8291      1.24651    0.0117985     0.999999   0.00154971
      18.8624      1.24756    0.0124295      1.00788   0.00369330
      18.8956      1.25051    0.0131352      1.00753   0.00192579
      18.9289      1.24739    0.0136989     0.992160   0.00201839
      18.9622      1.24245    0.0125334     0.994986   0.00244150
      18.9954      1.22971    0.0126985      1.00280   0.00258127
      19.0287      1.21845    0.0115536     0.996498   0.00318951
      19.0620      1.23637    0.0146102      1.00400   0.00313285
      19.0952      1.22483    0.0146945     0.995729   0.00216350
      19.1285      1.23270    0.0136272     0.984212   0.00274704
      19.1617      1.23730    0.0134073     0.994130   0.00160315
      19.1950      1.21119    0.0120730      1.00018   0.00261057
      19.2283      1.22014    0.0130039     0.995394   0.00269198
      19.2615      1.19830    0.0105876     0.995714   0.00206302
      19.2948      1.18641    0.0100062      1.00424   0.00271896
      19.3280      1.17196    0.0115935      1.00223   0.00198939
      19.3613      1.17843   0.00945467      1.00277   0.00137392
      19.3946      1.18721    0.0107655      1.00668   0.00271717
      19.4278      1.18866   0.00980979      1.00123   0.00253301
      19.4611      1.19672    0.0109890     0.993007  0.000968483
      19.4943      1.19246    0.0107543     0.998556   0.00123622
      19.5276      1.19601    0.0110678      1.00700   0.00206289
      19.5609      1.19665    0.0116015      1.00523   0.00147966
      19.5941      1.19367    0.0126065     0.991119   0.00148841
      19.6274      1.19103    0.0114369     0.996328   0.00180437
      19.6607      1.18862    0.0118016      1.00001   0.00268139
      19.6939      1.18173    0.0105094     0.996624   0.00254674
      19.7272      1.19311    0.0131469      1.00311   0.00286223
      19.7604      1.17091    0.0135160     0.995458   0.00182901
      19.7937      1.17547    0.0121802     0.984053   0.00327559
      19.8270      1.17743    0.0115973     0.994611   0.00209980
      19.8602      1.14766    0.0101848     0.999987   0.00370261
      19.8935      1.15762    0.0111436     0.995251   0.00361004
      19.9267      1.14105   0.00925801     0.995963   0.00152889
      19.9600      1.14909   0.00953616      1.00202   0.00212819
      19.9933      1.14975    0.0107599      1.00073   0.00134870
      20.0265      1.16013   0.00939690      1.00170   0.00123706
      20.0598      1.16085    0.0103170      1.00348   0.00136606
      20.0930      1.15869   0.00919944     0.999651   0.00115311
      20.1263      1.16046    0.0100799     0.994664  0.000654475
      20.1596      1.15383   0.00959700      1.00102  0.000960075
      20.1928      1.15861   0.00953268      1.00688   0.00238049
      20.2261      1.15796    0.0100913      1.00324  0.000888578
      20.2594      1.15093    0.0111592     0.990118   0.00168568
      20.2926      1.15013   0.00963099     0.997400   0.00145268
      20.3259      1.14477    0.0100406     0.999622   0.00193100
      20.3591      1.14058   0.00987630     0.997072   0.00250707
      20.3924      1.15658    0.0122915      1.00132   0.00272799
      20.4257      1.14776    0.0110295     0.995071   0.00165033
      20.4589      1.15363    0.0107425     0.987984   0.00227006
      20.4922      1.15799    0.0108818     0.995969   0.00134117
      20.5254      1.13802    0.0105057     0.998321   0.00212603
      20.5587      1.14650    0.0104720     0.996037   0.00111675
      20.5920      1.13616   0.00865608     0.997876   0.00181801
      20.6252      1.13190   0.00881063      1.00217   0.00227867
      20.6585      1.12697    0.0103789     0.999842   0.00172254
      20.6917      1.13190   0.00900140      1.00230   0.00119597
      20.7250      1.13294   0.00961998      1.00392   0.00142970
      20.7583      1.13206   0.00901244      1.00072   0.00178691
      20.7915      1.14047    0.0101648     0.995626   0.00109001
      20.8248      1.13624   0.00972084     0.999961   0.00124528
      20.8581      1.14594    0.0112369      1.00386   0.00209797
      20.8913      1.14235    0.0103529      1.00253  0.000810323
      20.9246      1.14054    0.0116014     0.991311  0.000944120
      20.9578      1.14292    0.0109850     0.998466   0.00114491
      20.9911      1.14243    0.0109381     0.998511   0.00199168
      21.0244      1.13944    0.0106394     0.996896   0.00190011
      21.0576      1.15496    0.0138013      1.00285   0.00336244
