trecsQ6.txt
 -- Radiance Enhancement %
Wavelength | Impact Enhancement | Impact Error | Background Enhancement | Backgrdound Error
      15.8356         -NaN         -NaN         -NaN         -NaN
      15.8689      5.22541     0.295403      1.00552    0.0458629
      15.9021      1.88335    0.0401532     0.993694    0.0318164
      15.9354      1.77852    0.0596246     0.989683    0.0225731
      15.9687      1.50681    0.0288714     0.999135    0.0271827
      16.0019     0.950000      0.00000      1.00670    0.0273277
      16.0352      1.12603    0.0232347      1.00220    0.0309078
      16.0684      2.14201    0.0176936      1.00109    0.0131642
      16.1017      1.78226    0.0403707      1.00034    0.0187965
      16.1350      1.26663    0.0233203      1.00376    0.0249293
      16.1682      1.11228    0.0204428     0.992057    0.0331354
      16.2015      1.64610    0.0374877     0.997064    0.0296306
      16.2348      1.59554    0.0668468      1.00474    0.0288568
      16.2680      1.00997   0.00912782      1.00262    0.0243838
      16.3013     0.950000      0.00000     0.999120    0.0215071
      16.3345      2.02272    0.0350290     0.998263    0.0236735
      16.3678      1.84868    0.0174355     0.999436    0.0136759
      16.4011      1.58653    0.0584111     0.996380    0.0142022
      16.4343      1.53845    0.0765514      1.01078    0.0457284
      16.4676      1.44017    0.0590500      1.01922    0.0516637
      16.5008      8.17001      1.55452      1.01012    0.0506761
      16.5341     0.950000      0.00000      7.70500      17.7992
      16.5674      7.02532     0.890721     0.992242    0.0404956
      16.6006      7.54051      1.27422     0.994871    0.0519388
      16.6339      51.7687      10.9389      1.01129    0.0675957
      16.6671     0.950000      0.00000      1.04597     0.103552
      16.7004      1.37566    0.0956913      1.43578     0.761452
      16.7337     0.950000      0.00000      1.08855     0.168568
      16.7669     0.950000      0.00000     0.996256    0.0589388
      16.8002      1.18000    0.0344615     0.996126    0.0281222
      16.8335      1.28658    0.0241902      1.00712    0.0197034
      16.8667      1.10970   0.00905485      1.00204    0.0137308
      16.9000      1.14219   0.00523457     0.999614   0.00859066
      16.9332      1.26964    0.0102962      1.00017    0.0114008
      16.9665      1.25534    0.0125666      1.00027   0.00585287
      16.9998      1.14716    0.0151468      1.00140   0.00751246
      17.0330      1.18092    0.0146018      1.00077   0.00426901
      17.0663      1.20420    0.0104815      1.00105   0.00327866
      17.0995      1.20711    0.0105309     0.999075   0.00829620
      17.1328      1.22167    0.0123524     0.999177   0.00703142
